area_peril_id,lon,lat,peril_id,coverage_type
1,114.42801,-8.0042,QTS,1
2,114.42783,-8.0043,QTS,1
3,114.42797,-8.00478,QTS,1
4,114.42803,-8.00509,QTS,1
5,114.43392,-8.03478,QTS,1
6,114.43404,-8.03512,QTS,1
7,114.42675,-8.01002,QTS,1
8,114.42667,-8.01031,QTS,1
9,114.426,-8.01033,QTS,1
10,114.42656,-8.01044,QTS,1
11,114.42662,-8.01064,QTS,1
12,114.42411,-8.01281,QTS,1
13,114.42463,-8.01351,QTS,1
14,114.43134,-8.0279,QTS,1
15,114.43132,-8.02805,QTS,1
16,114.43245,-8.03766,QTS,1
17,114.42532,-8.01402,QTS,1
18,114.42586,-8.01217,QTS,1
19,114.42912,-8.0228,QTS,1
20,114.43104,-8.02775,QTS,1
21,114.43093,-8.02803,QTS,1
22,114.43212,-8.03742,QTS,1
23,114.43223,-8.03764,QTS,1
24,114.42896,-8.02279,QTS,1
25,114.42913,-8.02309,QTS,1
26,114.43097,-8.02757,QTS,1
27,114.43092,-8.02787,QTS,1
28,114.43205,-8.03779,QTS,1
29,114.42561,-8.01418,QTS,1
30,114.42561,-8.01385,QTS,1
31,114.4286,-8.02239,QTS,1
32,114.42886,-8.02295,QTS,1
33,114.42895,-8.02308,QTS,1
34,114.42904,-8.02331,QTS,1
35,114.43083,-8.02695,QTS,1
36,114.43073,-8.02781,QTS,1
37,114.43062,-8.02796,QTS,1
38,114.43184,-8.03767,QTS,1
39,114.42582,-8.01515,QTS,1
40,114.42847,-8.02227,QTS,1
41,114.42858,-8.02253,QTS,1
42,114.42861,-8.02279,QTS,1
43,114.42868,-8.02294,QTS,1
44,114.42891,-8.02323,QTS,1
45,114.43061,-8.02701,QTS,1
46,114.42843,-8.02259,QTS,1
47,114.42845,-8.02275,QTS,1
48,114.42858,-8.02308,QTS,1
49,114.42962,-8.02513,QTS,1
50,114.43046,-8.02689,QTS,1
51,114.43152,-8.03836,QTS,1
52,114.42829,-8.0225,QTS,1
53,114.42833,-8.02285,QTS,1
54,114.42838,-8.02303,QTS,1
55,114.42932,-8.02504,QTS,1
56,114.42946,-8.02513,QTS,1
57,114.43047,-8.02669,QTS,1
58,114.43125,-8.03836,QTS,1
59,114.428,-8.02228,QTS,1
60,114.42812,-8.02258,QTS,1
61,114.42814,-8.02278,QTS,1
62,114.42824,-8.02318,QTS,1
63,114.42859,-8.02393,QTS,1
64,114.42917,-8.02516,QTS,1
65,114.43104,-8.03715,QTS,1
66,114.42798,-8.02248,QTS,1
67,114.42804,-8.02312,QTS,1
68,114.4285,-8.02375,QTS,1
69,114.43086,-8.03719,QTS,1
70,114.42279,-8.07044,QTS,1
71,114.42783,-8.02251,QTS,1
72,114.4279,-8.02324,QTS,1
73,114.42824,-8.02353,QTS,1
74,114.42834,-8.02371,QTS,1
75,114.423,-8.07044,QTS,1
76,114.42789,-8.02344,QTS,1
77,114.42803,-8.02356,QTS,1
78,114.42821,-8.02385,QTS,1
79,114.4297,-8.02646,QTS,1
80,114.42429,-8.01951,QTS,1
81,114.42308,-8.07061,QTS,1
82,114.42769,-8.02348,QTS,1
83,114.42802,-8.02377,QTS,1
84,114.42857,-8.02526,QTS,1
85,114.42956,-8.02665,QTS,1
86,114.42938,-8.02703,QTS,1
87,114.42434,-8.0197,QTS,1
88,114.42326,-8.0706,QTS,1
89,114.42291,-8.07147,QTS,1
90,114.42839,-8.02523,QTS,1
91,114.4293,-8.0272,QTS,1
92,114.42369,-8.07063,QTS,1
93,114.42336,-8.07075,QTS,1
94,114.42835,-8.02555,QTS,1
95,114.4239,-8.07065,QTS,1
96,114.42357,-8.07077,QTS,1
97,114.42402,-8.0708,QTS,1
98,114.42882,-8.02699,QTS,1
99,114.42881,-8.02717,QTS,1
100,114.42424,-8.07076,QTS,1
101,114.42656,-8.0228,QTS,1
102,114.42872,-8.02669,QTS,1
103,114.43104,-8.05503,QTS,1
104,114.43101,-8.05534,QTS,1
105,114.43101,-8.05549,QTS,1
106,114.43104,-8.0565,QTS,1
107,114.42461,-8.07058,QTS,1
108,114.4264,-8.02281,QTS,1
109,114.42662,-8.02297,QTS,1
110,114.42916,-8.03858,QTS,1
111,114.42892,-8.0388,QTS,1
112,114.42467,-8.07077,QTS,1
113,114.42911,-8.03877,QTS,1
114,114.42561,-8.06993,QTS,1
115,114.42398,-8.07218,QTS,1
116,114.42947,-8.04002,QTS,1
117,114.42859,-8.06748,QTS,1
118,114.42854,-8.06764,QTS,1
119,114.42953,-8.04018,QTS,1
120,114.4292,-8.04012,QTS,1
121,114.42942,-8.04032,QTS,1
122,114.42952,-8.04049,QTS,1
123,114.42925,-8.04028,QTS,1
124,114.42945,-8.04065,QTS,1
125,114.42975,-8.04088,QTS,1
126,114.42923,-8.04066,QTS,1
127,114.42955,-8.04083,QTS,1
128,114.42981,-8.0411,QTS,1
129,114.42944,-8.04098,QTS,1
130,114.42926,-8.04097,QTS,1
131,114.42968,-8.0414,QTS,1
132,114.4295,-8.0415,QTS,1
133,114.42956,-8.04169,QTS,1
134,114.42866,-8.04411,QTS,1
135,114.4287,-8.04448,QTS,1
136,114.42874,-8.04393,QTS,1
137,114.42883,-8.04466,QTS,1
138,114.42903,-8.04464,QTS,1
139,114.42909,-8.04447,QTS,1
140,114.40438,-8.1141,QTS,1
141,114.4031,-8.11426,QTS,1
142,114.40353,-8.11419,QTS,1
143,114.40355,-8.1144,QTS,1
144,114.40169,-8.1156,QTS,1
145,114.40248,-8.11517,QTS,1
146,114.40059,-8.11681,QTS,1
147,114.40106,-8.11621,QTS,1
148,114.40127,-8.11618,QTS,1
149,114.40171,-8.11578,QTS,1
150,114.40047,-8.11694,QTS,1
151,114.40021,-8.1175,QTS,1
152,114.4009,-8.11652,QTS,1
153,114.40105,-8.11641,QTS,1
154,114.40134,-8.11603,QTS,1
155,114.40155,-8.11585,QTS,1
156,114.39934,-8.11873,QTS,1
157,114.40052,-8.11711,QTS,1
158,114.40153,-8.11601,QTS,1
159,114.39905,-8.11942,QTS,1
160,114.39963,-8.11828,QTS,1
161,114.39985,-8.11814,QTS,1
162,114.39902,-8.11958,QTS,1
163,114.39817,-8.12503,QTS,1
164,114.3982,-8.12516,QTS,1
165,114.39808,-8.12522,QTS,1
166,114.39832,-8.12523,QTS,1
167,106.02894,-5.88703,QTS,1
168,114.3985,-8.12748,QTS,1
169,114.39866,-8.12741,QTS,1
170,114.39873,-8.12724,QTS,1
171,114.3988,-8.12751,QTS,1
172,114.39884,-8.12768,QTS,1
173,114.39904,-8.12811,QTS,1
174,114.39915,-8.12832,QTS,1
175,114.39912,-8.12781,QTS,1
176,114.39915,-8.12798,QTS,1
177,114.40086,-8.13146,QTS,1
178,114.39939,-8.12865,QTS,1
179,114.39956,-8.12878,QTS,1
180,114.39969,-8.1287,QTS,1
