event_id,period_no,occ_year,occ_month,occ_day
458,7,7,1,1
627,40,40,1,1
634,56,56,1,1
128,127,127,1,1
357,139,139,1,1
397,160,160,1,1
363,169,169,1,1
730,173,173,1,1
147,180,180,1,1
498,202,202,1,1
46,210,210,1,1
640,255,255,1,1
249,273,273,1,1
144,292,292,1,1
239,294,294,1,1
533,312,312,1,1
483,334,334,1,1
307,347,347,1,1
181,364,364,1,1
280,386,386,1,1
191,388,388,1,1
15,404,404,1,1
60,428,428,1,1
660,433,433,1,1
471,466,466,1,1
368,480,480,1,1
641,530,530,1,1
38,546,546,1,1
159,568,568,1,1
413,574,574,1,1
214,619,619,1,1
39,623,623,1,1
701,645,645,1,1
463,649,649,1,1
126,665,665,1,1
30,668,668,1,1
610,669,669,1,1
63,681,681,1,1
61,748,748,1,1
124,755,755,1,1
544,764,764,1,1
650,779,779,1,1
682,781,781,1,1
584,827,827,1,1
587,844,844,1,1
578,850,850,1,1
148,851,851,1,1
175,873,873,1,1
541,942,942,1,1
132,959,959,1,1
342,960,960,1,1
626,962,962,1,1
277,980,980,1,1
554,993,993,1,1
366,998,998,1,1
567,1002,1002,1,1
377,1010,1010,1,1
278,1012,1012,1,1
245,1045,1045,1,1
690,1054,1054,1,1
379,1070,1070,1,1
309,1094,1094,1,1
501,1149,1149,1,1
121,1175,1175,1,1
691,1188,1188,1,1
542,1217,1217,1,1
279,1221,1221,1,1
151,1229,1229,1,1
480,1298,1298,1,1
507,1299,1299,1,1
508,1304,1304,1,1
7,1316,1316,1,1
709,1321,1321,1,1
692,1366,1366,1,1
154,1412,1412,1,1
267,1442,1442,1,1
203,1447,1447,1,1
416,1451,1451,1,1
26,1468,1468,1,1
714,1485,1485,1,1
697,1504,1504,1,1
484,1536,1536,1,1
652,1537,1537,1,1
180,1543,1543,1,1
601,1558,1558,1,1
540,1569,1569,1,1
142,1572,1572,1,1
535,1581,1581,1,1
565,1585,1585,1,1
613,1600,1600,1,1
77,1624,1624,1,1
530,1691,1691,1,1
254,1726,1726,1,1
243,1727,1727,1,1
396,1734,1734,1,1
656,1747,1747,1,1
722,1755,1755,1,1
169,1768,1768,1,1
557,1773,1773,1,1
305,1798,1798,1,1
478,1827,1827,1,1
164,1830,1830,1,1
105,1845,1845,1,1
241,1846,1846,1,1
19,1849,1849,1,1
596,1864,1864,1,1
312,1865,1865,1,1
389,1878,1878,1,1
62,1879,1879,1,1
579,1887,1887,1,1
661,1891,1891,1,1
711,1900,1900,1,1
612,1928,1928,1,1
231,1968,1968,1,1
353,2022,2022,1,1
337,2032,2032,1,1
178,2038,2038,1,1
695,2039,2039,1,1
497,2055,2055,1,1
344,2063,2063,1,1
495,2076,2076,1,1
1,2077,2077,1,1
196,2083,2083,1,1
193,2098,2098,1,1
354,2143,2143,1,1
572,2155,2155,1,1
167,2210,2210,1,1
674,2233,2233,1,1
685,2269,2269,1,1
559,2282,2282,1,1
387,2305,2305,1,1
417,2308,2308,1,1
719,2315,2315,1,1
141,2325,2325,1,1
